"id","disease","topic","question","answer"
"202","Serangan Jantung","Pengobatan","Bagaimana penanganan pertama saat terjadi serangan jantung?","Serangan jantung adalah kedaruratan medis — segera hubungi 119 atau minta orang lain membawa ke IGD terdekat. Penanganan mencakup pemberian aspirin (jika tidak alergi), oksigen, dan segera dilakukan tindakan reperfusi seperti Primary PCI (pemasangan stent) dalam 90 menit dari kontak medis pertama, atau trombolitik jika PCI tidak tersedia. Waktu emas adalah 'time is muscle' — semakin cepat ditangani, semakin banyak otot jantung yang bisa diselamatkan."
"203","Serangan Jantung","Pengobatan","Pengobatan serangan jantung di rumah sakit itu seperti apa?","Serangan jantung adalah kedaruratan medis — segera hubungi 119 atau minta orang lain membawa ke IGD terdekat. Penanganan mencakup pemberian aspirin (jika tidak alergi), oksigen, dan segera dilakukan tindakan reperfusi seperti Primary PCI (pemasangan stent) dalam 90 menit dari kontak medis pertama, atau trombolitik jika PCI tidak tersedia. Waktu emas adalah 'time is muscle' — semakin cepat ditangani, semakin banyak otot jantung yang bisa diselamatkan."
"204","Serangan Jantung","Pengobatan","Berapa lama waktu emas penanganan serangan jantung?","Serangan jantung adalah kedaruratan medis — segera hubungi 119 atau minta orang lain membawa ke IGD terdekat. Penanganan mencakup pemberian aspirin (jika tidak alergi), oksigen, dan segera dilakukan tindakan reperfusi seperti Primary PCI (pemasangan stent) dalam 90 menit dari kontak medis pertama, atau trombolitik jika PCI tidak tersedia. Waktu emas adalah 'time is muscle' — semakin cepat ditangani, semakin banyak otot jantung yang bisa diselamatkan."
"205","Infeksi Saluran Kemih (ISK)","Gejala","Apa saja gejala infeksi saluran kemih (ISK)?","Gejala ISK meliputi rasa nyeri atau perih saat buang air kecil (disuria), frekuensi buang air kecil meningkat namun jumlah urin sedikit, rasa tidak tuntas setelah BAK, urin keruh atau berbau menyengat, urin berwarna kemerahan atau kecoklatan (tanda darah), nyeri atau tekanan di perut bagian bawah, dan pada ISK bagian atas (pielonefritis) dapat disertai demam tinggi dan nyeri pinggang."
"206","Infeksi Saluran Kemih (ISK)","Gejala","Bagaimana tanda-tanda seseorang terkena ISK?","Gejala ISK meliputi rasa nyeri atau perih saat buang air kecil (disuria), frekuensi buang air kecil meningkat namun jumlah urin sedikit, rasa tidak tuntas setelah BAK, urin keruh atau berbau menyengat, urin berwarna kemerahan atau kecoklatan (tanda darah), nyeri atau tekanan di perut bagian bawah, dan pada ISK bagian atas (pielonefritis) dapat disertai demam tinggi dan nyeri pinggang."
"207","Infeksi Saluran Kemih (ISK)","Gejala","Ciri-ciri infeksi saluran kemih itu seperti apa ya?","Gejala ISK meliputi rasa nyeri atau perih saat buang air kecil (disuria), frekuensi buang air kecil meningkat namun jumlah urin sedikit, rasa tidak tuntas setelah BAK, urin keruh atau berbau menyengat, urin berwarna kemerahan atau kecoklatan (tanda darah), nyeri atau tekanan di perut bagian bawah, dan pada ISK bagian atas (pielonefritis) dapat disertai demam tinggi dan nyeri pinggang."
"208","Infeksi Saluran Kemih (ISK)","Gejala","Apa yang dirasakan ketika saluran kemih sedang infeksi?","Gejala ISK meliputi rasa nyeri atau perih saat buang air kecil (disuria), frekuensi buang air kecil meningkat namun jumlah urin sedikit, rasa tidak tuntas setelah BAK, urin keruh atau berbau menyengat, urin berwarna kemerahan atau kecoklatan (tanda darah), nyeri atau tekanan di perut bagian bawah, dan pada ISK bagian atas (pielonefritis) dapat disertai demam tinggi dan nyeri pinggang."
"209","Infeksi Saluran Kemih (ISK)","Pencegahan","Bagaimana cara mencegah infeksi saluran kemih?","Pencegahan ISK meliputi minum air putih minimal 8 gelas per hari, tidak menahan buang air kecil terlalu lama, membersihkan area kemaluan dari depan ke belakang (terutama wanita) setelah BAB dan BAK, buang air kecil setelah berhubungan seksual, menghindari produk kebersihan kewanitaan yang mengandung pewangi, menggunakan pakaian dalam berbahan katun, dan menjaga kebersihan organ intim."
"210","Infeksi Saluran Kemih (ISK)","Pencegahan","Apa yang bisa dilakukan agar tidak kena ISK?","Pencegahan ISK meliputi minum air putih minimal 8 gelas per hari, tidak menahan buang air kecil terlalu lama, membersihkan area kemaluan dari depan ke belakang (terutama wanita) setelah BAB dan BAK, buang air kecil setelah berhubungan seksual, menghindari produk kebersihan kewanitaan yang mengandung pewangi, menggunakan pakaian dalam berbahan katun, dan menjaga kebersihan organ intim."
"211","Infeksi Saluran Kemih (ISK)","Pencegahan","Tips mencegah ISK terutama bagi wanita itu bagaimana?","Pencegahan ISK meliputi minum air putih minimal 8 gelas per hari, tidak menahan buang air kecil terlalu lama, membersihkan area kemaluan dari depan ke belakang (terutama wanita) setelah BAB dan BAK, buang air kecil setelah berhubungan seksual, menghindari produk kebersihan kewanitaan yang mengandung pewangi, menggunakan pakaian dalam berbahan katun, dan menjaga kebersihan organ intim."
"212","Infeksi Saluran Kemih (ISK)","Pencegahan","Cara menjaga kesehatan saluran kemih itu gimana?","Pencegahan ISK meliputi minum air putih minimal 8 gelas per hari, tidak menahan buang air kecil terlalu lama, membersihkan area kemaluan dari depan ke belakang (terutama wanita) setelah BAB dan BAK, buang air kecil setelah berhubungan seksual, menghindari produk kebersihan kewanitaan yang mengandung pewangi, menggunakan pakaian dalam berbahan katun, dan menjaga kebersihan organ intim."
"213","Infeksi Saluran Kemih (ISK)","Pengobatan","Bagaimana cara mengobati infeksi saluran kemih?","ISK bakteri diobati dengan antibiotik sesuai resep dokter, seperti trimetoprim-sulfametoksazol, nitrofurantoin, atau siprofloksasin selama 3–7 hari untuk ISK bawah yang tidak komplikasi. Perbanyak minum air putih untuk membantu 'membilas' bakteri. ISK yang tidak diobati dapat berkembang menjadi pielonefritis yang lebih serius. Jangan menghentikan antibiotik sebelum habis meski sudah merasa sembuh."
"214","Infeksi Saluran Kemih (ISK)","Pengobatan","Obat apa yang dipakai untuk mengatasi ISK?","ISK bakteri diobati dengan antibiotik sesuai resep dokter, seperti trimetoprim-sulfametoksazol, nitrofurantoin, atau siprofloksasin selama 3–7 hari untuk ISK bawah yang tidak komplikasi. Perbanyak minum air putih untuk membantu 'membilas' bakteri. ISK yang tidak diobati dapat berkembang menjadi pielonefritis yang lebih serius. Jangan menghentikan antibiotik sebelum habis meski sudah merasa sembuh."
"215","Infeksi Saluran Kemih (ISK)","Pengobatan","Penanganan ISK yang tepat itu seperti apa?","ISK bakteri diobati dengan antibiotik sesuai resep dokter, seperti trimetoprim-sulfametoksazol, nitrofurantoin, atau siprofloksasin selama 3–7 hari untuk ISK bawah yang tidak komplikasi. Perbanyak minum air putih untuk membantu 'membilas' bakteri. ISK yang tidak diobati dapat berkembang menjadi pielonefritis yang lebih serius. Jangan menghentikan antibiotik sebelum habis meski sudah merasa sembuh."
"216","Infeksi Saluran Kemih (ISK)","Pengobatan","Apakah ISK perlu dibawa ke dokter atau bisa sembuh sendiri?","ISK bakteri diobati dengan antibiotik sesuai resep dokter, seperti trimetoprim-sulfametoksazol, nitrofurantoin, atau siprofloksasin selama 3–7 hari untuk ISK bawah yang tidak komplikasi. Perbanyak minum air putih untuk membantu 'membilas' bakteri. ISK yang tidak diobati dapat berkembang menjadi pielonefritis yang lebih serius. Jangan menghentikan antibiotik sebelum habis meski sudah merasa sembuh."
"217","Gastroenteritis (Muntaber / Flu Perut)","Gejala","Apa saja gejala gastroenteritis atau muntaber?","Gejala gastroenteritis meliputi mual dan muntah, diare (bisa disertai darah atau lendir pada kasus bakteri), kram dan nyeri perut, demam ringan, lemas, dan kehilangan nafsu makan. Risiko utama adalah dehidrasi, ditandai dengan mulut kering, mata cekung, urin berwarna gelap, dan pada bayi tidak ada air mata saat menangis. Gejala biasanya berlangsung 1–3 hari untuk virus, lebih lama untuk bakteri."
"218","Gastroenteritis (Muntaber / Flu Perut)","Gejala","Bagaimana tanda-tanda seseorang terkena flu perut?","Gejala gastroenteritis meliputi mual dan muntah, diare (bisa disertai darah atau lendir pada kasus bakteri), kram dan nyeri perut, demam ringan, lemas, dan kehilangan nafsu makan. Risiko utama adalah dehidrasi, ditandai dengan mulut kering, mata cekung, urin berwarna gelap, dan pada bayi tidak ada air mata saat menangis. Gejala biasanya berlangsung 1–3 hari untuk virus, lebih lama untuk bakteri."
"219","Gastroenteritis (Muntaber / Flu Perut)","Gejala","Ciri-ciri muntaber itu seperti apa ya?","Gejala gastroenteritis meliputi mual dan muntah, diare (bisa disertai darah atau lendir pada kasus bakteri), kram dan nyeri perut, demam ringan, lemas, dan kehilangan nafsu makan. Risiko utama adalah dehidrasi, ditandai dengan mulut kering, mata cekung, urin berwarna gelap, dan pada bayi tidak ada air mata saat menangis. Gejala biasanya berlangsung 1–3 hari untuk virus, lebih lama untuk bakteri."
"220","Gastroenteritis (Muntaber / Flu Perut)","Gejala","Apa yang dirasakan saat terkena gastroenteritis?","Gejala gastroenteritis meliputi mual dan muntah, diare (bisa disertai darah atau lendir pada kasus bakteri), kram dan nyeri perut, demam ringan, lemas, dan kehilangan nafsu makan. Risiko utama adalah dehidrasi, ditandai dengan mulut kering, mata cekung, urin berwarna gelap, dan pada bayi tidak ada air mata saat menangis. Gejala biasanya berlangsung 1–3 hari untuk virus, lebih lama untuk bakteri."
"221","Gastroenteritis (Muntaber / Flu Perut)","Pencegahan","Bagaimana cara mencegah gastroenteritis atau muntaber?","Pencegahan gastroenteritis meliputi mencuci tangan dengan sabun sebelum makan dan setelah dari toilet, mengonsumsi air matang atau air mineral kemasan yang terjamin, memastikan makanan dimasak hingga matang sempurna, menghindari makanan jajanan yang tidak terjamin kebersihannya, menyimpan makanan di suhu yang tepat, dan menjaga kebersihan dapur serta peralatan makan."
"222","Gastroenteritis (Muntaber / Flu Perut)","Pencegahan","Apa yang harus dilakukan agar tidak kena flu perut?","Pencegahan gastroenteritis meliputi mencuci tangan dengan sabun sebelum makan dan setelah dari toilet, mengonsumsi air matang atau air mineral kemasan yang terjamin, memastikan makanan dimasak hingga matang sempurna, menghindari makanan jajanan yang tidak terjamin kebersihannya, menyimpan makanan di suhu yang tepat, dan menjaga kebersihan dapur serta peralatan makan."
"223","Gastroenteritis (Muntaber / Flu Perut)","Pencegahan","Tips menjaga kebersihan makanan dan minuman untuk cegah muntaber?","Pencegahan gastroenteritis meliputi mencuci tangan dengan sabun sebelum makan dan setelah dari toilet, mengonsumsi air matang atau air mineral kemasan yang terjamin, memastikan makanan dimasak hingga matang sempurna, menghindari makanan jajanan yang tidak terjamin kebersihannya, menyimpan makanan di suhu yang tepat, dan menjaga kebersihan dapur serta peralatan makan."
"224","Gastroenteritis (Muntaber / Flu Perut)","Pencegahan","Cara menghindari penularan gastroenteritis itu gimana?","Pencegahan gastroenteritis meliputi mencuci tangan dengan sabun sebelum makan dan setelah dari toilet, mengonsumsi air matang atau air mineral kemasan yang terjamin, memastikan makanan dimasak hingga matang sempurna, menghindari makanan jajanan yang tidak terjamin kebersihannya, menyimpan makanan di suhu yang tepat, dan menjaga kebersihan dapur serta peralatan makan."
"225","Gastroenteritis (Muntaber / Flu Perut)","Pengobatan","Bagaimana cara mengobati gastroenteritis atau muntaber?","Pengobatan gastroenteritis utamanya berfokus pada pencegahan dan penanganan dehidrasi dengan oralit atau cairan rehidrasi oral. Makan makanan ringan yang mudah dicerna seperti nasi tim, pisang, dan roti tawar. Antibiotik hanya diberikan jika disebabkan bakteri tertentu atas rekomendasi dokter. Segera ke IGD jika ada tanda dehidrasi berat, diare berdarah, demam tinggi, atau gejala memburuk setelah 3 hari."
"226","Gastroenteritis (Muntaber / Flu Perut)","Pengobatan","Penanganan muntaber yang tepat itu seperti apa?","Pengobatan gastroenteritis utamanya berfokus pada pencegahan dan penanganan dehidrasi dengan oralit atau cairan rehidrasi oral. Makan makanan ringan yang mudah dicerna seperti nasi tim, pisang, dan roti tawar. Antibiotik hanya diberikan jika disebabkan bakteri tertentu atas rekomendasi dokter. Segera ke IGD jika ada tanda dehidrasi berat, diare berdarah, demam tinggi, atau gejala memburuk setelah 3 hari."
"227","Gastroenteritis (Muntaber / Flu Perut)","Pengobatan","Apa yang harus diberikan kepada anak yang kena muntaber?","Pengobatan gastroenteritis utamanya berfokus pada pencegahan dan penanganan dehidrasi dengan oralit atau cairan rehidrasi oral. Makan makanan ringan yang mudah dicerna seperti nasi tim, pisang, dan roti tawar. Antibiotik hanya diberikan jika disebabkan bakteri tertentu atas rekomendasi dokter. Segera ke IGD jika ada tanda dehidrasi berat, diare berdarah, demam tinggi, atau gejala memburuk setelah 3 hari."
"228","Gastroenteritis (Muntaber / Flu Perut)","Pengobatan","Kapan penderita muntaber harus dibawa ke rumah sakit?","Pengobatan gastroenteritis utamanya berfokus pada pencegahan dan penanganan dehidrasi dengan oralit atau cairan rehidrasi oral. Makan makanan ringan yang mudah dicerna seperti nasi tim, pisang, dan roti tawar. Antibiotik hanya diberikan jika disebabkan bakteri tertentu atas rekomendasi dokter. Segera ke IGD jika ada tanda dehidrasi berat, diare berdarah, demam tinggi, atau gejala memburuk setelah 3 hari."
"229","Tifus (Tipus)","Gejala","Apa saja gejala penyakit tifus atau tipes?","Gejala tifus (demam tifoid) meliputi demam yang meningkat bertahap selama seminggu pertama dan mencapai puncaknya (39–40°C) pada minggu kedua, sakit kepala, nyeri perut, sembelit (lebih sering pada orang dewasa) atau diare (lebih sering pada anak), lidah kotor berwarna putih di bagian tengah, lemas, dan hilang nafsu makan. Pada kasus berat dapat terjadi komplikasi serius seperti perforasi usus."
"230","Tifus (Tipus)","Gejala","Bagaimana tanda-tanda seseorang terkena tifus?","Gejala tifus (demam tifoid) meliputi demam yang meningkat bertahap selama seminggu pertama dan mencapai puncaknya (39–40°C) pada minggu kedua, sakit kepala, nyeri perut, sembelit (lebih sering pada orang dewasa) atau diare (lebih sering pada anak), lidah kotor berwarna putih di bagian tengah, lemas, dan hilang nafsu makan. Pada kasus berat dapat terjadi komplikasi serius seperti perforasi usus."
"231","Tifus (Tipus)","Gejala","Ciri-ciri tifus itu seperti apa ya?","Gejala tifus (demam tifoid) meliputi demam yang meningkat bertahap selama seminggu pertama dan mencapai puncaknya (39–40°C) pada minggu kedua, sakit kepala, nyeri perut, sembelit (lebih sering pada orang dewasa) atau diare (lebih sering pada anak), lidah kotor berwarna putih di bagian tengah, lemas, dan hilang nafsu makan. Pada kasus berat dapat terjadi komplikasi serius seperti perforasi usus."
"232","Tifus (Tipus)","Gejala","Apa yang membedakan demam tifoid dengan demam biasa?","Gejala tifus (demam tifoid) meliputi demam yang meningkat bertahap selama seminggu pertama dan mencapai puncaknya (39–40°C) pada minggu kedua, sakit kepala, nyeri perut, sembelit (lebih sering pada orang dewasa) atau diare (lebih sering pada anak), lidah kotor berwarna putih di bagian tengah, lemas, dan hilang nafsu makan. Pada kasus berat dapat terjadi komplikasi serius seperti perforasi usus."
"233","Tifus (Tipus)","Pencegahan","Bagaimana cara mencegah penyakit tifus?","Pencegahan tifus meliputi mencuci tangan dengan sabun sebelum makan dan setelah dari toilet, mengonsumsi air yang sudah dimasak atau air mineral kemasan, menghindari makanan mentah atau setengah matang, memastikan kebersihan makanan dan tempat makan, vaksinasi tifoid (tersedia dalam bentuk suntikan dan kapsul) terutama bagi yang tinggal atau bepergian ke daerah endemis."
"234","Tifus (Tipus)","Pencegahan","Apa yang bisa dilakukan agar tidak kena tipes?","Pencegahan tifus meliputi mencuci tangan dengan sabun sebelum makan dan setelah dari toilet, mengonsumsi air yang sudah dimasak atau air mineral kemasan, menghindari makanan mentah atau setengah matang, memastikan kebersihan makanan dan tempat makan, vaksinasi tifoid (tersedia dalam bentuk suntikan dan kapsul) terutama bagi yang tinggal atau bepergian ke daerah endemis."
"235","Tifus (Tipus)","Pencegahan","Tips menjaga kebersihan untuk mencegah tifus itu gimana?","Pencegahan tifus meliputi mencuci tangan dengan sabun sebelum makan dan setelah dari toilet, mengonsumsi air yang sudah dimasak atau air mineral kemasan, menghindari makanan mentah atau setengah matang, memastikan kebersihan makanan dan tempat makan, vaksinasi tifoid (tersedia dalam bentuk suntikan dan kapsul) terutama bagi yang tinggal atau bepergian ke daerah endemis."
"236","Tifus (Tipus)","Pencegahan","Apakah ada vaksin untuk tifus?","Pencegahan tifus meliputi mencuci tangan dengan sabun sebelum makan dan setelah dari toilet, mengonsumsi air yang sudah dimasak atau air mineral kemasan, menghindari makanan mentah atau setengah matang, memastikan kebersihan makanan dan tempat makan, vaksinasi tifoid (tersedia dalam bentuk suntikan dan kapsul) terutama bagi yang tinggal atau bepergian ke daerah endemis."
"237","Tifus (Tipus)","Pengobatan","Bagaimana cara mengobati tifus?","Pengobatan tifus menggunakan antibiotik pilihan seperti kloramfenikol, ampisilin, trimetoprim-sulfametoksazol, atau fluorokuinolon (siprofloksasin) selama 7–14 hari sesuai resep dokter. Istirahat total sangat penting untuk mencegah komplikasi. Konsumsi makanan lunak yang mudah dicerna, perbanyak cairan, dan pantau suhu tubuh secara rutin. Pengobatan harus tuntas meskipun gejala sudah mereda."
"238","Tifus (Tipus)","Pengobatan","Obat apa yang digunakan untuk mengatasi tipes?","Pengobatan tifus menggunakan antibiotik pilihan seperti kloramfenikol, ampisilin, trimetoprim-sulfametoksazol, atau fluorokuinolon (siprofloksasin) selama 7–14 hari sesuai resep dokter. Istirahat total sangat penting untuk mencegah komplikasi. Konsumsi makanan lunak yang mudah dicerna, perbanyak cairan, dan pantau suhu tubuh secara rutin. Pengobatan harus tuntas meskipun gejala sudah mereda."
"239","Tifus (Tipus)","Pengobatan","Penanganan tifus yang tepat itu seperti apa?","Pengobatan tifus menggunakan antibiotik pilihan seperti kloramfenikol, ampisilin, trimetoprim-sulfametoksazol, atau fluorokuinolon (siprofloksasin) selama 7–14 hari sesuai resep dokter. Istirahat total sangat penting untuk mencegah komplikasi. Konsumsi makanan lunak yang mudah dicerna, perbanyak cairan, dan pantau suhu tubuh secara rutin. Pengobatan harus tuntas meskipun gejala sudah mereda."
"240","Tifus (Tipus)","Pengobatan","Berapa lama pengobatan tifus berlangsung?","Pengobatan tifus menggunakan antibiotik pilihan seperti kloramfenikol, ampisilin, trimetoprim-sulfametoksazol, atau fluorokuinolon (siprofloksasin) selama 7–14 hari sesuai resep dokter. Istirahat total sangat penting untuk mencegah komplikasi. Konsumsi makanan lunak yang mudah dicerna, perbanyak cairan, dan pantau suhu tubuh secara rutin. Pengobatan harus tuntas meskipun gejala sudah mereda."
